门店编号,城市,商圈,开业日期,运营月数,成熟度,面积(㎡),牙椅,月均收入(万元),月门诊人次,毛利率,净利率,月租金(万元),月人力(万元),月耗材(万元),月获客(万元),客单价-正畸(元),客单价-种植(元),客单价-基础(元),全职医生,护士,投资(万元),累计营收(万元),回本状态,回本月数,坪效(万/㎡/年),椅效(万/椅/年),复购率,美团评分,核心业务
HZ-008,杭州,富阳区,2024-03,5,新店,700,10,22,120,50%,-15%,7.0,10.0,6.0,4.5,21000,8000,600,2,8,380,100,爬坡期,,0.38,26,40%,,基础
NJ-001,南京,鼓楼区,2020-06,54,成熟店,800,12,105,570,56%,15%,9.0,31.0,18.0,4.0,25000,9800,780,5,12,420,4600,已回本,21,1.58,105,62%,4.7,种植
NJ-002,南京,建邺区,2021-01,47,成熟店,750,10,92,500,55%,12%,8.0,27.0,16.0,3.8,24000,9200,720,4,10,400,3400,已回本,23,1.47,110,58%,4.6,正畸+儿牙
NJ-003,南京,秦淮区,2021-09,40,成长店,700,10,86,460,55%,10%,7.5,25.0,15.0,3.8,23000,9000,700,4,10,380,2700,接近回本,25,1.47,103,56%,4.6,综合
NJ-004,南京,栖霞区,2022-06,31,成长店,800,12,72,390,53%,5%,8.5,22.0,13.5,3.8,22000,8800,680,4,12,420,1700,接近回本,,1.08,72,50%,4.5,种植
NJ-005,南京,江宁区,2023-03,22,新店,700,10,44,240,51%,-5%,7.0,14.0,9.0,4.0,21000,8500,650,3,10,380,740,爬坡期,,0.75,53,45%,4.3,基础+正畸
NJ-006,南京,浦口区,2024-01,7,新店,750,10,24,130,49%,-14%,8.0,10.0,6.5,4.5,20000,8000,600,2,8,400,150,爬坡期,,0.38,29,38%,,综合
SZ-001,苏州,工业园区,2021-03,46,成熟店,800,12,98,530,56%,13%,9.0,29.0,17.0,3.8,24000,9200,720,5,12,420,3500,已回本,23,1.47,98,60%,4.7,种植+正畸
SZ-002,苏州,姑苏区,2022-01,37,成长店,700,10,76,410,54%,7%,7.5,23.0,14.0,3.5,23000,8800,680,4,10,380,2100,接近回本,,1.30,91,55%,4.5,正畸
SZ-003,苏州,吴中区,2022-09,28,成长店,750,10,70,380,53%,4%,8.0,21.0,13.0,3.5,22000,8500,650,3,10,400,1500,接近回本,,1.12,84,52%,4.4,综合
SZ-004,苏州,相城区,2023-06,19,新店,800,12,42,230,51%,-6%,8.5,14.0,9.0,4.0,21000,8200,620,3,12,420,620,爬坡期,,0.63,42,45%,4.3,儿牙+基础
SZ-005,苏州,昆山,2024-03,5,新店,700,10,20,110,48%,-18%,7.0,9.0,5.5,4.5,20000,8000,600,2,8,380,90,爬坡期,,0.34,24,38%,,基础
OT-001,无锡,梁溪区,2022-06,31,成长店,700,10,72,390,53%,5%,7.0,22.0,13.0,3.5,22000,8500,650,3,10,380,1700,接近回本,,1.23,86,52%,4.5,综合
OT-002,宁波,海曙区,2023-01,23,新店,750,10,50,270,52%,-2%,7.5,16.0,10.0,4.0,22000,8500,650,3,10,400,880,爬坡期,,0.80,60,48%,4.4,种植
OT-003,合肥,蜀山区,2023-09,15,新店,700,10,30,160,50%,-10%,6.5,11.0,6.5,4.0,21000,8000,600,2,8,380,340,爬坡期,,0.51,36,42%,4.3,基础+正畸
OT-004,温州,鹿城区,2024-03,5,新店,700,10,18,100,48%,-20%,6.5,8.0,4.5,4.5,20000,8000,600,2,8,380,80,爬坡期,,0.31,22,36%,,基础
